NmdID,NmdFullNam,NmdCod,GrpID,TblID,BseVol,NmdCod2,Sts,NmdNamCod,Tbl,NmdNam,NmdUrlID,PrcntOsc,StckCnt,FloatPrcnt,FloatStckCnt,Expr,SubSet
1,كنتورسازي‌ايران‌,IRO1CONT0001,33,NULL,NULL,NULL,1,آكنتور,NULL,آکنتور,44834847569322522,0.05,200000000,35.00,70000000.00,NULL,NULL
2,ذغال‌سنگ‌ نگين‌ ط‌بس‌,IRO1TBAS0001,10,NULL,1765724,8977369674477111,1,كطبس,NULL,کطبس,8977369674477111,0.05,185000000,46.00,85100000.00,NULL,NULL
3,تامين‌ ماسه‌ ريخته‌گري‌,IRO1TAMI0001,14,NULL,1248564,67690708346979840,1,كماسه,NULL,کماسه,67690708346979840,0.05,162000000,87.00,140940000.00,NULL,NULL
4,معادن‌منگنزايران‌,IRO1MNGZ0001,13,NULL,950534,50341528161302545,1,كمنگنز,NULL,کمنگنز,50341528161302545,0.05,202400000,54.00,109296000.00,NULL,NULL
5,توسعه معدني و صنعتي صبانور,IRO1KNRZ0001,13,NULL,3487480,20411759370751096,1,كنور,NULL,کنور,20411759370751096,0.05,2940000000,14.00,411600000.00,NULL,NULL
6,معدني‌ دماوند,IRO1DMVN0001,13,NULL,545096,3623921205367364,1,كدما,NULL,کدما,3623921205367364,0.05,30000000,19.00,5700000.00,NULL,NULL
7,توسعه‌ معادن‌ روي‌ ايران‌,IRO1ROOI0001,13,NULL,3234990,22787503301679573,1,كروي,NULL,کروی,22787503301679573,0.05,2410000000,47.00,1132700000.00,NULL,NULL
8,معدني و صنعتي گل گهر,IRO1GOLG0001,13,NULL,11522950,35700344742885862,1,كگل,NULL,کگل,35700344742885862,0.05,48000000000,16.00,7680000000.00,NULL,NULL
9,توسعه‌معادن‌وفلزات‌,IRO1MADN0001,13,NULL,20975354,58931793851445922,1,ومعادن,NULL,ومعادن,58931793851445922,0.05,40300000000,18.00,7254000000.00,NULL,NULL
10,باما,IRO1BAMA0001,13,NULL,1775947,4942127026063388,1,كاما,NULL,کاما,4942127026063388,0.05,1000000000,31.00,310000000.00,NULL,NULL
11,معادن‌ بافق‌,IRO1BAFG0001,13,NULL,1625223,NULL,1,كبافق,NULL,کبافق,43256212620530446,0.05,202500000,23.00,46575000.00,NULL,NULL
12,معدني‌وصنعتي‌چادرملو,IRO1CHML0001,13,NULL,16884762,18027801615184692,1,كچاد,NULL,کچاد,18027801615184692,0.05,44000000000,10.00,4400000000.00,NULL,NULL
13,توسعه صنعت نفت و گاز پرشيا,IRO1PERS0001,11,NULL,NULL,NULL,1,پرشيا,NULL,پرشیا,10497143354080476,0.05,2000000000,0.00,0.00,NULL,NULL
14,حفاري شمال,IRO1HSHM0001,11,NULL,6254691,28809886765682162,1,حفاري,NULL,حفاری,28809886765682162,0.05,5210000000,13.00,677300000.00,NULL,NULL
15,داده گسترعصرنوين-هاي وب,IRO1HWEB0001,73,NULL,NULL,NULL,1,هاي وب,NULL,های وب,43362635835198978,0.05,4000000000,24.00,960000000.00,NULL,NULL
16,سرمايه‌گذاري‌توسعه‌آذربايجان‌,IRO1TAZB0001,70,NULL,1481306,1358190916156744,1,وآذر,NULL,وآذر,1358190916156744,0.05,200000000,61.00,122000000.00,NULL,NULL
17,توسعه‌شهري‌توس‌گستر,IRO1TGOS0001,70,NULL,9365050,68117765376081366,1,وتوس,NULL,وتوس,68117765376081366,0.05,NULL,NULL,NULL,NULL,NULL
18,سرمايه‌ گذاري‌ ساختمان‌ايران‌,IRO1SAKH0001,70,NULL,2501876,25514780181345713,1,وساخت,NULL,وساخت,25514780181345713,0.05,1090000000,36.00,392400000.00,NULL,NULL
19,توريستي ورفاهي آبادگران ايران,IRO1ABAD0001,70,NULL,3557959,59612098290740355,1,ثاباد,NULL,ثاباد,59612098290740355,0.05,240000000,48.00,115200000.00,NULL,NULL
20,بين‌المللي‌توسعه‌ساختمان,IRO1BSTE0001,70,NULL,12042389,17800036702302776,1,ثاخت,NULL,ثاخت,17800036702302776,0.05,6000000000,8.00,480000000.00,NULL,NULL
21,سخت‌ آژند,IRO1SAJN0001,70,9,219974,22215980602177059,1,ثاژن,بازار پایه ب,ثاژن,40650252484299134,0.05,NULL,NULL,NULL,NULL,NULL
22,ساختمان‌ اصفهان‌,IRO1SESF0001,70,9,NULL,NULL,1,ثاصفا,بازار پایه ب,ثاصفا,7503669593172728,0.10,NULL,NULL,NULL,NULL,NULL
23,سامان‌ گستراصفهان‌,IRO1SGOS0001,70,NULL,3434066,NULL,1,ثامان,NULL,ثامان,66456062140680461,0.05,221940000,51.00,113189400.00,NULL,NULL
24,سرمايه‌ گذاري‌ شاهد,IRO1SAHD0001,70,NULL,11745361,63481599728522324,1,ثشاهد,NULL,ثشاهد,63481599728522324,0.05,4010000000,15.00,601500000.00,NULL,NULL
25,سرمايه گذاري مسكن شمال شرق,IRO1PMSZ0001,70,NULL,11153246,6043384171800349,1,ثشرق,NULL,ثشرق,6043384171800349,0.05,900000000,27.00,243000000.00,NULL,NULL
26,عمران‌وتوسعه‌فارس‌,IRO1OFRS0001,70,NULL,6459948,30852391633490755,1,ثفارس,NULL,ثفارس,30852391633490755,0.05,1800000000,60.00,1080000000.00,NULL,NULL
27,سرمايه‌گذاري‌ مسكن‌,IRO1MSKN0001,70,NULL,12230920,3863538898378476,1,ثمسكن,NULL,ثمسکن,3863538898378476,0.05,5500000000,24.00,1320000000.00,NULL,NULL
28,بين المللي ساختمان و صنعت ملي,IRO1BMLI0001,70,NULL,NULL,NULL,1,ثملي,NULL,ثملی,8403167990439117,0.05,900000000,0.00,0.00,NULL,NULL
